iter	Passed	Remaining
0	44	8834
1	100	9950
2	143	9418
3	189	9289
4	241	9418
5	296	9586
6	355	9801
7	400	9610
8	452	9598
9	516	9806
10	575	9881
11	642	10069
12	698	10042
13	749	9956
14	799	9862
15	878	10103
16	986	10616
17	1068	10807
18	1131	10779
19	1208	10876
20	1284	10944
21	1350	10923
22	1412	10867
23	1477	10834
24	1534	10740
25	1579	10571
26	1620	10380
27	1677	10306
28	1721	10151
29	1761	9983
30	1809	9862
31	1862	9777
32	1907	9654
33	1945	9496
34	2006	9458
35	2045	9316
36	2100	9255
37	2140	9127
38	2184	9017
39	2229	8918
40	2287	8870
41	2331	8771
42	2373	8664
43	2414	8560
44	2468	8503
45	2510	8405
46	2555	8317
47	2599	8232
48	2658	8192
49	2697	8093
50	2736	7996
51	2778	7906
52	2834	7860
53	2905	7854
54	2962	7810
55	3002	7720
56	3045	7641
57	3089	7562
58	3141	7506
59	3183	7429
60	3227	7355
61	3272	7283
62	3330	7242
63	3373	7168
64	3414	7092
65	3459	7024
66	3502	6952
67	3545	6881
68	3584	6804
69	3639	6759
70	3679	6685
71	3724	6621
72	3768	6556
73	3824	6511
74	3881	6469
75	3924	6403
76	3977	6353
77	4020	6287
78	4060	6219
79	4099	6149
80	4137	6078
81	4196	6038
82	4236	5972
83	4279	5909
84	4323	5848
85	4377	5802
86	4418	5738
87	4457	5673
88	4496	5608
89	4516	5519
90	4557	5459
91	4613	5415
92	4655	5356
93	4695	5295
94	4750	5251
95	4796	5195
96	4845	5144
97	4885	5084
98	4926	5026
99	4983	4983
100	5044	4944
101	5107	4906
102	5147	4847
103	5192	4792
104	5250	4750
105	5296	4696
106	5336	4638
107	5395	4595
108	5437	4539
109	5476	4480
110	5531	4434
111	5574	4380
112	5617	4325
113	5675	4281
114	5740	4242
115	5764	4174
116	5802	4116
117	5858	4071
118	5899	4015
119	5939	3959
120	5977	3902
121	6020	3849
122	6065	3797
123	6109	3744
124	6153	3692
125	6197	3639
126	6240	3586
127	6299	3543
128	6345	3492
129	6390	3440
130	6429	3386
131	6469	3332
132	6540	3294
133	6585	3243
134	6625	3190
135	6671	3139
136	6720	3090
137	6763	3038
138	6807	2987
139	6849	2935
140	6892	2884
141	6933	2831
142	6972	2779
143	7016	2728
144	7059	2677
145	7100	2626
146	7160	2581
147	7215	2535
148	7271	2489
149	7319	2439
150	7360	2388
151	7403	2337
152	7446	2287
153	7487	2236
154	7531	2186
155	7569	2135
156	7616	2085
157	7655	2035
158	7697	1984
159	7741	1935
160	7784	1885
161	7823	1835
162	7862	1784
163	7904	1735
164	7945	1685
165	7991	1636
166	8033	1587
167	8072	1537
168	8113	1488
169	8154	1438
170	8199	1390
171	8240	1341
172	8281	1292
173	8338	1246
174	8382	1197
175	8441	1151
176	8484	1102
177	8529	1054
178	8567	1005
179	8624	958
180	8664	909
181	8706	861
182	8747	812
183	8806	765
184	8865	718
185	8907	670
186	8963	623
187	9004	574
188	9060	527
189	9110	479
190	9152	431
191	9210	383
192	9254	335
193	9297	287
194	9339	239
195	9394	191
196	9438	143
197	9481	95
198	9520	47
199	9561	0
